1. Accuracy = 90.5% -> (K=7, Epoch=100, Learning Rate=0.06)
2. Accuracy = 89.5% -> (K=9, Epoch=100, Learning Rate=0.07)
3. Accuracy = 89.0% -> (K=9, Epoch=100, Learning Rate=0.1)
4. Accuracy = 88.5% -> (K=9, Epoch=100, Learning Rate=0.06)
5. Accuracy = 87.0% -> (K=7, Epoch=100, Learning Rate=0.09)
6. Accuracy = 87.0% -> (K=9, Epoch=100, Learning Rate=0.05)
7. Accuracy = 87.0% -> (K=9, Epoch=100, Learning Rate=0.08)
8. Accuracy = 86.5% -> (K=7, Epoch=100, Learning Rate=0.05)
9. Accuracy = 86.5% -> (K=9, Epoch=75, Learning Rate=0.09)
10. Accuracy = 86.0% -> (K=9, Epoch=75, Learning Rate=0.07)
11. Accuracy = 85.5% -> (K=7, Epoch=75, Learning Rate=0.08)
12. Accuracy = 85.0% -> (K=3, Epoch=100, Learning Rate=0.06)
13. Accuracy = 85.0% -> (K=9, Epoch=75, Learning Rate=0.08)
14. Accuracy = 84.5% -> (K=9, Epoch=75, Learning Rate=0.1)
15. Accuracy = 84.0% -> (K=7, Epoch=75, Learning Rate=0.06)
16. Accuracy = 84.0% -> (K=7, Epoch=100, Learning Rate=0.03)
17. Accuracy = 83.5% -> (K=5, Epoch=75, Learning Rate=0.09)
18. Accuracy = 83.5% -> (K=5, Epoch=100, Learning Rate=0.05)
19. Accuracy = 83.5% -> (K=5, Epoch=100, Learning Rate=0.07)
20. Accuracy = 83.5% -> (K=9, Epoch=100, Learning Rate=0.09)
21. Accuracy = 83.0% -> (K=5, Epoch=75, Learning Rate=0.04)
22. Accuracy = 82.5% -> (K=7, Epoch=100, Learning Rate=0.07)
23. Accuracy = 82.5% -> (K=7, Epoch=100, Learning Rate=0.08)
24. Accuracy = 82.5% -> (K=7, Epoch=100, Learning Rate=0.1)
25. Accuracy = 82.5% -> (K=9, Epoch=50, Learning Rate=0.09)
26. Accuracy = 82.5% -> (K=9, Epoch=75, Learning Rate=0.06)
27. Accuracy = 82.5% -> (K=9, Epoch=100, Learning Rate=0.04)
28. Accuracy = 82.0% -> (K=5, Epoch=75, Learning Rate=0.08)
29. Accuracy = 82.0% -> (K=5, Epoch=100, Learning Rate=0.09)
30. Accuracy = 82.0% -> (K=7, Epoch=75, Learning Rate=0.1)
