1. Accuracy = 97.5% -> (K=7, Epoch=100, Learning Rate=0.1)
2. Accuracy = 97.0% -> (K=9, Epoch=100, Learning Rate=0.1)
3. Accuracy = 96.5% -> (K=7, Epoch=100, Learning Rate=0.08)
4. Accuracy = 96.5% -> (K=9, Epoch=100, Learning Rate=0.09)
5. Accuracy = 95.5% -> (K=5, Epoch=75, Learning Rate=0.1)
6. Accuracy = 95.0% -> (K=5, Epoch=75, Learning Rate=0.04)
7. Accuracy = 95.0% -> (K=5, Epoch=75, Learning Rate=0.08)
8. Accuracy = 95.0% -> (K=5, Epoch=100, Learning Rate=0.04)
9. Accuracy = 95.0% -> (K=5, Epoch=100, Learning Rate=0.05)
10. Accuracy = 95.0% -> (K=7, Epoch=100, Learning Rate=0.04)
11. Accuracy = 95.0% -> (K=7, Epoch=100, Learning Rate=0.05)
12. Accuracy = 95.0% -> (K=9, Epoch=75, Learning Rate=0.05)
13. Accuracy = 95.0% -> (K=9, Epoch=100, Learning Rate=0.04)
14. Accuracy = 95.0% -> (K=9, Epoch=100, Learning Rate=0.06)
15. Accuracy = 95.0% -> (K=9, Epoch=100, Learning Rate=0.08)
16. Accuracy = 94.5% -> (K=5, Epoch=75, Learning Rate=0.05)
17. Accuracy = 94.5% -> (K=5, Epoch=75, Learning Rate=0.06)
18. Accuracy = 94.5% -> (K=5, Epoch=100, Learning Rate=0.09)
19. Accuracy = 94.5% -> (K=9, Epoch=75, Learning Rate=0.06)
20. Accuracy = 94.0% -> (K=5, Epoch=50, Learning Rate=0.08)
21. Accuracy = 94.0% -> (K=7, Epoch=50, Learning Rate=0.08)
22. Accuracy = 94.0% -> (K=7, Epoch=75, Learning Rate=0.04)
23. Accuracy = 94.0% -> (K=7, Epoch=75, Learning Rate=0.06)
24. Accuracy = 94.0% -> (K=7, Epoch=75, Learning Rate=0.08)
25. Accuracy = 94.0% -> (K=9, Epoch=50, Learning Rate=0.06)
26. Accuracy = 94.0% -> (K=9, Epoch=75, Learning Rate=0.08)
27. Accuracy = 94.0% -> (K=9, Epoch=75, Learning Rate=0.09)
28. Accuracy = 93.5% -> (K=5, Epoch=50, Learning Rate=0.1)
29. Accuracy = 93.5% -> (K=5, Epoch=100, Learning Rate=0.07)
30. Accuracy = 93.5% -> (K=7, Epoch=50, Learning Rate=0.1)
