1. Accuracy = 98.0% -> (K=5, Epoch=50, Learning Rate=0.05)
2. Accuracy = 98.0% -> (K=9, Epoch=50, Learning Rate=0.05)
3. Accuracy = 98.0% -> (K=9, Epoch=100, Learning Rate=0.03)
4. Accuracy = 97.5% -> (K=7, Epoch=100, Learning Rate=0.06)
5. Accuracy = 97.5% -> (K=7, Epoch=100, Learning Rate=0.07)
6. Accuracy = 97.5% -> (K=9, Epoch=75, Learning Rate=0.08)
7. Accuracy = 97.5% -> (K=9, Epoch=100, Learning Rate=0.04)
8. Accuracy = 97.5% -> (K=9, Epoch=100, Learning Rate=0.05)
9. Accuracy = 97.5% -> (K=9, Epoch=100, Learning Rate=0.07)
10. Accuracy = 97.0% -> (K=5, Epoch=75, Learning Rate=0.02)
11. Accuracy = 97.0% -> (K=5, Epoch=75, Learning Rate=0.04)
12. Accuracy = 97.0% -> (K=5, Epoch=75, Learning Rate=0.08)
13. Accuracy = 97.0% -> (K=7, Epoch=25, Learning Rate=0.08)
14. Accuracy = 97.0% -> (K=7, Epoch=50, Learning Rate=0.03)
15. Accuracy = 97.0% -> (K=7, Epoch=50, Learning Rate=0.05)
16. Accuracy = 97.0% -> (K=7, Epoch=50, Learning Rate=0.06)
17. Accuracy = 97.0% -> (K=7, Epoch=50, Learning Rate=0.09)
18. Accuracy = 97.0% -> (K=7, Epoch=75, Learning Rate=0.06)
19. Accuracy = 97.0% -> (K=7, Epoch=75, Learning Rate=0.08)
20. Accuracy = 97.0% -> (K=7, Epoch=75, Learning Rate=0.09)
21. Accuracy = 97.0% -> (K=7, Epoch=100, Learning Rate=0.04)
22. Accuracy = 97.0% -> (K=7, Epoch=100, Learning Rate=0.05)
23. Accuracy = 97.0% -> (K=9, Epoch=50, Learning Rate=0.04)
24. Accuracy = 97.0% -> (K=9, Epoch=50, Learning Rate=0.06)
25. Accuracy = 97.0% -> (K=9, Epoch=50, Learning Rate=0.1)
26. Accuracy = 97.0% -> (K=9, Epoch=75, Learning Rate=0.02)
27. Accuracy = 97.0% -> (K=9, Epoch=75, Learning Rate=0.04)
28. Accuracy = 97.0% -> (K=9, Epoch=75, Learning Rate=0.07)
29. Accuracy = 97.0% -> (K=9, Epoch=100, Learning Rate=0.01)
30. Accuracy = 97.0% -> (K=9, Epoch=100, Learning Rate=0.06)

